Artist,Track,Popularity Score,Country,Track Duration,Key,Tempo (bpm),Time Signature,Loudness (dB),Valence,Genre 1,Genre 2,Genre 3,Genre 4,Genre 5,Genre 6,Genre 7,Genre 8,Genre 9,Genre 10
Sabrina Carpenter,Nonsense,75,Philipines,02:43,G# Major,138,4.0,-4.912,0.732,pop,,,,,,,,,
Sabrina Carpenter,Nonsense,75,Singapore,02:43,G# Major,138,4.0,-4.912,0.732,pop,,,,,,,,,
The Weeknd,Die For You,93,Malaysia,04:20,C# Minor,133,4.0,-7.163,0.508,canadian contemporary r&b, canadian pop, pop,,,,,,,
The Weeknd,Die For You,93,United Emirates,04:20,C# Minor,133,4.0,-7.163,0.508,canadian contemporary r&b, canadian pop, pop,,,,,,,
SZA,Snooze,87,Malaysia,03:21,F Major,143,4.0,-7.231,0.392,pop, r&b, rap,,,,,,,
SZA,Snooze,87,South Africa,03:21,F Major,143,4.0,-7.231,0.392,pop, r&b, rap,,,,,,,
SZA,Snooze,87,Philipines,03:21,F Major,143,4.0,-7.231,0.392,pop, r&b, rap,,,,,,,
SZA,Snooze,87,New Zealand,03:21,F Major,143,4.0,-7.231,0.392,pop, r&b, rap,,,,,,,
Dalia Farhana,Langit Yang Sama,45,Malaysia,04:05,C# Major,131,4.0,-8.957,0.341,Uncategorized,,,,,,,,,
Sufian Suhaimi,Terasa Ada,49,Malaysia,04:02,C Major,180,4.0,-6.592,0.278,malaysian pop,,,,,,,,,
dhruv,double take,66,Malaysia,02:51,G# Major,109,4.0,-11.141,0.196,nyc pop,,,,,,,,,
Taylor Swift,Enchanted,100,Malaysia,05:52,G# Major,163,4.0,-3.878,0.208,pop,,,,,,,,,
Taylor Swift,Enchanted,100,Philipines,05:52,G# Major,163,4.0,-3.878,0.208,pop,,,,,,,,,
Taylor Swift,Enchanted,100,Singapore,05:52,G# Major,163,4.0,-3.878,0.208,pop,,,,,,,,,
Justin Bieber,Ghost,87,Malaysia,02:33,D Major,153,4.0,-5.569,0.441,canadian pop, pop,,,,,,,,
